time,I,Q
0.000000 ,-3.05E-05,-1.53E-04
0.000004 ,-1.22E-04,-1.53E-04
0.000008 ,-3.05E-05,-6.10E-05
0.000012 ,-3.05E-05,0.00E+00
0.000016 ,9.16E-05,-3.05E-05
0.000020 ,9.16E-05,3.05E-05
0.000024 ,9.16E-05,0.00E+00
0.000028 ,6.10E-05,-9.16E-05
0.000032 ,9.16E-05,-1.22E-04
0.000036 ,6.10E-05,0.00E+00
0.000040 ,-1.83E-04,0.00E+00
0.000044 ,-9.16E-05,-1.22E-04
0.000048 ,6.10E-05,-9.16E-05
0.000052 ,-9.16E-05,-9.16E-05
0.000056 ,-9.16E-05,-1.53E-04
0.000060 ,3.05E-05,-3.05E-05
0.000064 ,-9.16E-05,3.05E-05
0.000068 ,-6.10E-05,0.00E+00
0.000072 ,-9.16E-05,-1.83E-04
0.000076 ,6.10E-05,-1.53E-04
0.000080 ,1.22E-04,-1.22E-04
0.000084 ,1.53E-04,-1.22E-04
0.000088 ,-3.05E-05,0.00E+00
0.000092 ,6.10E-05,9.16E-05
0.000096 ,6.10E-05,0.00E+00
0.000100 ,1.53E-04,-3.05E-05
0.000104 ,6.10E-05,-1.22E-04
0.000108 ,3.05E-05,-3.05E-05
0.000112 ,9.16E-05,3.05E-05
0.000116 ,-3.05E-05,9.16E-05
0.000120 ,0.00E+00,3.05E-05
0.000124 ,3.05E-05,0.00E+00
0.000128 ,-6.10E-05,9.16E-05
0.000132 ,-1.22E-04,1.53E-04
0.000136 ,-1.83E-04,3.05E-05
0.000140 ,-1.22E-04,0.00E+00
0.000144 ,-9.16E-05,6.10E-05
0.000148 ,-1.22E-04,0.00E+00
0.000152 ,-1.53E-04,0.00E+00
0.000156 ,-2.44E-04,1.22E-04
0.000160 ,-6.10E-05,-3.05E-05
0.000164 ,-6.10E-05,9.16E-05
0.000168 ,-1.53E-04,2.75E-04
0.000172 ,-2.14E-04,6.10E-05
0.000176 ,-1.83E-04,-9.16E-05
0.000180 ,3.05E-05,-3.05E-05
0.000184 ,0.00E+00,6.10E-05
0.000188 ,6.10E-05,1.22E-04
0.000192 ,9.16E-05,-3.05E-05
0.000196 ,0.00E+00,-1.53E-04
0.000200 ,0.00E+00,-9.16E-05
0.000204 ,-3.05E-05,6.10E-05
0.000208 ,-1.22E-04,2.75E-04
0.000212 ,0.00E+00,9.16E-05
0.000216 ,6.10E-05,-1.53E-04
0.000220 ,-3.05E-05,-2.75E-04
0.000224 ,-6.10E-05,-1.53E-04
