time,signal
0.000000 ,0
0.000004 ,1
0.000008 ,0
0.000012 ,0
0.000016 ,0
0.000020 ,1
0.000024 ,1
0.000028 ,0
0.000032 ,0
0.000036 ,1
0.000040 ,0
0.000044 ,0
0.000048 ,1
0.000052 ,1
0.000056 ,0
0.000060 ,0
0.000064 ,0
0.000068 ,1
0.000072 ,0
0.000076 ,0
0.000080 ,0
0.000084 ,0
0.000088 ,0
0.000092 ,1
0.000096 ,0
0.000100 ,1
0.000104 ,0
0.000108 ,0
0.000112 ,0
0.000116 ,1
0.000120 ,1
0.000124 ,1
0.000128 ,0
0.000132 ,1
0.000136 ,1
0.000140 ,1
0.000144 ,1
0.000148 ,0
0.000152 ,1
0.000156 ,1
0.000160 ,0
0.000164 ,1
0.000168 ,1
0.000172 ,0
0.000176 ,0
0.000180 ,0
0.000184 ,1
0.000188 ,0
0.000192 ,0
0.000196 ,1
0.000200 ,1
0.000204 ,0
0.000208 ,1
0.000212 ,0
0.000216 ,0
0.000220 ,1
0.000224 ,0
0.000228 ,1
0.000232 ,1
0.000236 ,0
0.000240 ,1
0.000244 ,1
0.000248 ,1
0.000252 ,0
0.000256 ,0
0.000260 ,1
0.000264 ,1
0.000268 ,0
0.000272 ,0
0.000276 ,0
0.000280 ,0
0.000284 ,1
0.000288 ,0
0.000292 ,1
0.000296 ,1
0.000300 ,1
0.000304 ,0
0.000308 ,0
0.000312 ,1
0.000316 ,0
0.000320 ,0
0.000324 ,1
0.000328 ,1
0.000332 ,1
0.000336 ,1
0.000340 ,0
0.000344 ,0
0.000348 ,1
0.000352 ,0
0.000356 ,0
0.000360 ,1
0.000364 ,0
0.000368 ,1
0.000372 ,1
0.000376 ,0
0.000380 ,1
0.000384 ,0
0.000388 ,1
0.000392 ,1
0.000396 ,0
0.000400 ,1
0.000404 ,0
0.000408 ,0
0.000412 ,1
0.000416 ,0
0.000420 ,1
0.000424 ,1
0.000428 ,1
0.000432 ,0
0.000436 ,0
0.000440 ,1
0.000444 ,1
0.000448 ,0
0.000452 ,0
0.000456 ,1
0.000460 ,0
0.000464 ,1
0.000468 ,1
0.000472 ,0
0.000476 ,1
0.000480 ,0
0.000484 ,1
0.000488 ,1
0.000492 ,0
0.000496 ,0
0.000500 ,1
0.000504 ,0
0.000508 ,1
0.000512 ,0
